Title,IMDB_ID,Subtitle,Status,Media Type,Remarks,Year,genre,runtime,director,plot,award,imdb_rating,release_date,directors
FORREST GUMP,tt0109830,,DEN,FILM,"REQUESTED ARMY SUPPORT TO REENACT BASIC TRAINING AND VIETNAM COMBAT SCENE. EARLY SCRIPT HAD NIHILISTIC VIEW OF MILITARY & VIETNAM EXPERIENCE. ARMY & WE SAID NO THANKS. LATER SCRIPT MUCH BETTER, WITH INPUT FROM TECH ADVISOR DALE DYE, BUT ARMY STILL NOT INTERESTED IN ASSISTING. DURING THIS PROCESS, DOD & MARINES INDICATED THAT THEY MAY BE WILLING TO SUPPORT, BUT DIRECTOR BOB ZEMECKIS WAS NOT INTERESTED IN CHANGING FROM ARMY. THE FILMMAKERS DID MAKE ONE VERY IMPORTANT CHANGE SUGGESTED BY THE ARMY: ORIGINAL SCRIPT HAD AN ENTIRE COMPANY OF MEN LIKE FORREST AND BUBBA; ARMY POINTED OUT THAT THE ACTUAL PROGRAM DISTRIBUTED SOLDIERS LIKE FORREST AMONG ""NORMAL"" SOLDIERS IN MANY COMPANIES. THE FINAL SCRIPT MADE THIS IMPORTANT CHANGE.",1994,"Drama, Romance",142 min,Robert Zemeckis,"Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone.",Won 6 Oscars. Another 44 wins & 75 nominations.,8.8,06 Jul 1994,nm0000709
FRANCIS,tt0041387,,APP,FILM,FIRST OF THE FRANCIS TALKING MULE FILMS. ARMY LOANED MEN AND EQUIPMENT AS BACKGROUND TO EARLY STORY,1950,"Comedy, Drama, Family, Fantasy, War",91 min,Arthur Lubin,"The truthful soldier Stirling didn't know how to lie about his source of information, the talking army Mule, Francis, so he was treated as a lunatic and led to one after another hilarious situations, where the mule was the only one that appeared in his right mind. In the process of all this, the mule assisted in uncovering a spy, Mareen, who pretended to be lost among the jungles.",,6.5,08 Feb 1950,nm0523893
FRANCIS GOES TO WEST POINT,tt0044633,,APP,FILM,ARMY ALLOWED FILMMAKERS TO SHOOT EXTERIOR SCENES AT THE MILITARY ACADEMY,1952,"Comedy, Fantasy",81 min,Arthur Lubin,Francis the talking mule gets his owner in and out of trouble while he is taking basic training at West Point.,,6.6,01 Jul 1952,nm0523893
FRANCIS IN THE NAVY,tt0048092,,APP,FILM,"ANOTHER IN THE SERIES OF FRANCIS THE TALKING MULE COMEDIES. THE NAVY PROVIDED SHIPS, MEN, AND LOCALES AS BACKGROUND TO THE COMEDY. TYPICAL SERVICE FARCE.",1955,"Comedy, Fantasy",80 min,Arthur Lubin,A story following Lieutenant Peter Stirling (Donald O'Connor) and his dream of being in the Navy.,,5.9,24 Aug 1955,nm0523893
FRANCIS JOINS THE WACS,tt0046995,,APP,FILM,"ANOTHER IN THE TALKING MULE SERIES-SET, IN PART, ON A WAC BASE",1954,"Comedy, Fantasy",95 min,Arthur Lubin,"On arrival at Fort Chase, ex-soldier Peter Stirling, recalled to active duty, is re-united with his old pal Francis the Talking Mule. Gradually, it dawns on Peter that a clerical error has assigned him to an all-female WAC base, where broad slapstick is the order of the day and Francis has more horse sense than any of the human officers. Too innocent to appreciate the pleasant aspects of his predicament, Peter ends by helping the ""enemy"" in a war-game battle of the sexes.",,6.8,30 Jul 1954,nm0523893
FRAULEIN,tt0051640,,LIM,FILM,"ARMY PROVIDED LIMITED ASSISTANCE WITH MEN, BACKGROUND, AND EQUIPMENT ON LOCATION IN GERMANY--FILM SET IN LAST DAYS OF THE WAR AND DURING THE OCCUPATION",1958,"Drama, Romance, War",95 min,Henry Koster,"A Nazi's fiancee helps an escaped U.S. soldier, then meets him in postwar Berlin.",,6.6,25 Jun 1958,nm0467396
FREDDY,,PAPER PLATE HERO,APP,FILM,THE FILM WAS APPROVED BY NUMEROUS SERVICES AND IN THE BEST INTEREST OF THOSE SERVICES. FREDDY WAS THE THIRD FILM TITLE ON THE SAME MARINE CORP SARGENT. NO RECORD THAT FILM WAS EVER MADE.,,,,,,,,,
FROGMEN,tt0043565,,APP,FILM,FILM ABOUT THE NAVY'S UNDERWATER DEMOLITION FORCE THAT LATER EVOLVED INTO THE NAVY SEALS. THE SERVICE PROVIDED ITS DIVERS AND LOCALES,1951,"Adventure, Drama, War",96 min,Lloyd Bacon,"World War II drama in which Richard Widmark, as Lt. Cmdr. John Lawrence, replaces the popular commanding officer of a group of underwater demolition divers. a crew of fiercely independent studs who hang their proverbial hats in Davy Jones' locker. The martinet Lawrence tightens the discipline of the unit, making him mucho unpopular with the macho frogmen. Finally, Lawrence proves himself as more than just a stuffed white shirt, showing he has the cojones to keep up with their peculiar brand of the jones, becoming one of the team by fearlessly defusing a live torpedo at the risk of his own life.",,6.5,08 Sep 1951,nm0045800
FROM EARTH TO THE MOON,tt1379362,WE HAVE CLEARED THE TOWER,APP,TV,"THE PRODUCTION COMPANY ORIGINALLY WANTED UNRESTRICTED ACCESS TO CAPE CANAVERAL AIR STATION AND ACCESS TO THE KENNEDY SPACE CENTER THROUGH AIR FORCE INSTALLATIONS. THE COMPANY ALSO ASKED FOR STORAGE FACILITIES AND OTHER RESOURCES. UNFORTUNATELY, THE MILITARY IDENTITY OF THE ASTRONAUTS IS ALL BUT IMPOSSIBLE TO DETECT, SO THERE WAS LITTLE INCLINATION TO BEND OVER BACKWARDS, DESPITE THE VERY POSITIVE AND ACCURATE PORTRAYALS OF NASA ASTRONAUTS AND OTHERS. ULTIMATELY WE LED THE COMPANY TO CLOSED OR CLOSING BASES (INCLUDING NAVAL TRAINING CENTER ORLANDO, FL, AND ONE OF THE OLD AIRSHIP HANGARS AT MARINE CORPS AIR STATION TUSTIN, CA, WHERE, IN FACT, THE HUGE LUNAR SET WAS CONSTRUCTED) AND EVERYONE WAS QUITE HAPPY WITH THE OUTCOME.",1998,"Action, Drama, History, Thriller",57 min,Lili Fini Zanuck,With a documentary film crew watching their every step NASA prepares for the Apollo 7 mission.,,7.7,12 Apr 1998,nm0005572
FROM HERE TO ETERNITY,tt0045793,,APP,FILM,"ARMY DESPERATELY DID NOT WANT TO COOPERATE ON PRODUCTION. HOWEVER, COLUMBIA ENTERED INTO A LONG SERIES OF NEGOTIATIONS. ULTIMATELY, FILMMAKERS SOFTENED PORTRAYALS OF BRUTALITY IN STOCKADE AND HAD A REPELLENT OFFICER FACE DISCIPLINARY ACTION. IN TURN, ARMY ALLOWED FILMMAKERS FULL ACCESS TO SCHOFIELD BARRACKS, HI.",1953,"Drama, Romance, War",118 min,Fred Zinnemann,"It's 1941. Robert E. Lee Prewitt has requested Army transfer and has ended up at Schofield in Hawaii. His new captain, Dana Holmes, has heard of his boxing prowess and is keen to get him to represent the company. However, 'Prew' is adamant that he doesn't box anymore, so Captain Holmes gets his subordinates to make his life a living hell. Meanwhile Sergeant Warden starts seeing the captain's wife, who has a history of seeking external relief from a troubled marriage. Prew's friend Maggio has a few altercations with the sadistic stockade Sergeant 'Fatso' Judson, and Prew begins falling in love with social club employee Lorene. Unbeknownst to anyone, the Japanese bombing of Pearl Harbor looms in the distance.",Won 8 Oscars. Another 17 wins & 7 nominations.,7.6,28 Aug 1953,nm0003593
FULL METAL JACKET,tt0093058,,OTH,FILM,STANLEY KUBRICK MADE HIS VIETNAM FILM IN ENGLAND WITHOUT ANY CONTACT WITH DOD OR THE MARINES. RETIRED MARINE DRILL INSTRUCTOR LEE ERMEY SERVED AS TECHNICAL ADVISOR.,1987,"Drama, War",116 min,Stanley Kubrick,"A two-segment look at the effect of the military mindset and war itself on Vietnam era Marines. The first half follows a group of recruits in boot camp under the command of the punishing Gunnery Sergeant Hartman. The second half shows one of those recruits, Joker, covering the war as a correspondent for Stars and Stripes, focusing on the Tet offensive.",Nominated for 1 Oscar. Another 8 wins & 14 nominations.,8.3,10 Jul 1987,nm0000040
G.I. JANE,tt0119173,,DEN,FILM,"THE COMPANY APPARENTLY BELIEVED IT DIDN'T REQUIRE ASSISTANCE, AND CAME LATE TO THE NEGOTIATING TABLE. CONSIDERABLE MEDIA ATTENTION RESULTED WHEN STAR DEMI MOORE PHONED THE WHITE HOUSE APPARENTLY IN AN ATTEMPT TO PERSUADE THE NAVY TO COOPERATE. THOUGH NOTHING CAME OF THE PHONE CALL, THE MEDIA PORTRAYED THE PROBLEM AS CENTERED ON THE ISSUE OF A FEMALE SEAL. THIS WAS INACCURATE. THE DIRECTOR HIMSELF SUGGESTED THAT SHE BE IN AN EXPERIMENTAL PROGRAM IN WHICH SHE DID SEAL-LIKE TRAINING. HOWEVER, NEGOTIATIONS BROKE DOWN OVER MANY SMALLER ISSUES, PRINCIPALLY DUE TO LACK OF TIME AND SOME NAVY OVER-ATTENTION TO THESE SMALLER ISSUES.",1997,"Action, Drama, War",125 min,Ridley Scott,"When a crusading chairperson of the military budget committee pressures the would be Navy secretary to begin full gender integration of the service, he offers the chance for a test case for a female trainee in the US Navy's elite SEAL/C.R.T. selection program. LT. Jordan O'Neill is given the assignment, but no one expects her to succeed in an inhumanly punishing regime that has a standard 60% dropout rate for men. However, O'Neill is determined to prove everyone wrong.",2 wins & 3 nominations.,6.0,22 Aug 1997,nm0000631
GALLANT HOURS,tt0053849,,APP,FILM,"DRAMATIZATION OF ADMIRAL HALSEY'S VICTORY AT BATTLE OF GUADALCANAL SEA. ROBERT MONTGOMERY WHO HAD SERVED ON HALSEY‘S STAFF CLAIMED FILM HISTORICALLY ACCURATE ACCOUNT. HOWEVER, FILM ENDS WITH THE SHOOTING DOWN OF ADMIRAL YAMAMOTO, EVEN THOUGH THAT INCIDENT ACTUALLY TOOK PLACE FIVE MONTHS LATER. VERY LITTLE COOPERATION AND NO BATTLE SCENES--JUST SAILORS LISTENING ON LOUDSPEAKERS.",1960,"Biography, Drama, War",115 min,Robert Montgomery,"The Gallant Hours depicts the crucial five-week period in October-November 1942 after Admiral Halsey took command of the beleaguered American forces in the South Pacific Area. That period of combat became a turning point in the struggle against the Japanese Empire during the World War II. The story is told in flashback, framed by Halsey's ceremony of going on inactive duty in 1947.",,7.1,13 Jun 1960,nm0599910
GARDENS OF STONE,tt0093073,,APP,FILM,"THE REQUEST FOR INSTALLATION, PERSONNEL, EQUIPMENT, AND ANIMALS WAS APPROVED. THE REQUEST FILM PERFECT EXAMPLE OF DOD DENYING HELP TO A FILMMAKER ON ONE PROJECT (APOCALYPSE NOW) AND THEN GIVING FULL COOPERATION TO ANOTHER. SOME FEEL THAT THE FILM CONTAINS A POWERFUL ANTI-WAR AND ANTI~VIETNAM WAR MESSAGE, ONE OF THE STRONGEST, IF NOT STRONGEST IN ANY FILM WHICH RECEIVED DOD ASSISTANCE.",1987,"Drama, Romance, War",111 min,Francis Ford Coppola,"In the late 60s, during the Vietnam War, the idealistic soldier Jackie Willow arrives at Fort Meyer expecting to go to the Academy and then to the Vietnam War. Jackie is the son of a veteran sergeant and soon he becomes the protégé of the former friends of his father, Sergeant Clell Hazard and Sergeant Major 'Goody' Nelson. Jackie is promoted and gets married with his childhood friend Rachel Feld, to recommend Jackie to the Academy. He is promoted to lieutenant and asks to go to the Vietnam, returning to the Arlington National Cemetery.",2 nominations.,6.4,08 May 1987,nm0000338
GATHERING OF EAGLES,tt0057090,,APP,FILM,"POSITIVE PORTRAYAL OF SAC, COMPARED TO ""DR. STRANGELOVE"" AND ""FAIL SAFE,"" THEN IN PRODUCTION. FILM RECEIVED FULL COOPERATION FROM SAC AND SHOT ON MILITARY LOCATIONS.",1963,"Drama, Romance, War",115 min,Delbert Mann,"Rock Hudson plays an Air Force Colonel who has just been re-assigned as a cold war B-52 commander who must shape up his men to pass a grueling inspection that the previous commander had failed, and had been fired for. He is also recently married, and as a tough commanding officer doing whatever he has to do to shape his men up, his wife sees a side to him that she hadn't seen before.",,6.2,21 Jun 1963,nm0542720
"GENERAL'S DAUGHTER, THE",tt0144214,,OTH,FILM,MURDER MYSTERY ABOUT WHO KILLED DAUGHTER OF A POLITICALLY AMBITIOUS GENERAL WHO TRIES TO SUPPRESS EVIDENCE. NEGATIVE SCENES INCLUDE USMA CADET DAUGHTER RAPED BY FELLOW CADETS AND COMPLIANCE BY OFFICERS IN COVER-UP.,1999,"Crime, Drama, Mystery, Thriller",116 min,Simon West,"The naked corpse of Captain Elisabeth Campbell, daughter of Lieutenant General ""Fighting Joe"" Campbell, is found staked out on the urban warfare range of Fort MacCallum. Army CID detectives and ex-lovers Paul Brenner and Sara Sunhill are called in to investigate, and find themselves wrapped up in a maelstrom of sexual impropriety and misguided face-saving.",3 wins & 5 nominations.,6.4,18 Jun 1999,nm0922346
GEORGE WASHINGTON,tt0086720,,APP,TV,"THE DOD APPROVED USE OF FORT BELVOIR FOR FILMING AT NO EXTRA COST TO THE GOVERNMENT. THE DEPARTMENT ALSO APPROVED FOR OFF DUTY SOLDIERS TO BE USED AS EXTRAS, ON A VOLUNTARY STATUS.",1984,"Biography, Drama, History, War",480 min,Buzz Kulik,The early life and career of the American General and President through his participation in the Revolutionary War.,,7.9,08 Apr 1984,nm0474539
GI BLUES,tt0053848,,APP,FILM,"ARMY PROVIDED MEN, EQUIPMENT, AND LOCALES FOR ELVIS PRESLEY FILM SET IN GERMANY",1960,"Comedy, Musical",104 min,Norman Taurog,"Tulsa is a specialist in the US Army stationed in Germany. He loves to sing and has dreams to run his own nightclub when he leaves the army....but dreams don't come cheap. Tulsa places a bet with his friend Dynamite that he can spend the night with a club dancer named Lili, who is rumored to be hard to get. When Dynamite gets transferred, Tulsa is brought in to take his place. He is not looking forward to it, but in order to keep his money, he must go through with it.",3 nominations.,6.3,23 Nov 1960,nm0851537
GIANT,tt0049261,,LIM,FILM,ARMY PROVIDED BURIAL DETAIL FOR ONE SCENE IN THE MOVIE,1956,"Drama, Western",201 min,George Stevens,"Texan rancher Bick Benedict visits a Maryland farm to buy a prize horse. Whilst there he meets and falls in love with the owner's daughter Leslie, they are married immediately and return to his ranch. The story of their family and its rivalry with cowboy and (later oil tycoon) Jett Rink unfolds across two generations.",Won 1 Oscar. Another 6 wins & 15 nominations.,7.6,24 Nov 1956,nm0828419
"GIRL HE LEFT BEHIND, THE",tt0049264,,APP,FILM,SILLY ARMY COMEDY FOLLOWS NEW RECRUIT THROUGH TRIALS AND TRIBULATIONS,1956,"Comedy, Drama",103 min,David Butler,"College students Andy Shaeffer and Susan Daniels are pinned. While Susan works hard to put herself through college, Andy sponges off his parents, his mother, Madeline Shaeffer, who in particular will give him whatever he wants. In other words, Andy is a mama's boy, which he doesn't really realize. Andy and Susan have used the word love to describe their relationship, but Susan isn't sure if that's what they are really feeling for each other or if it is solely a loveless passion. And if it is love, she isn't sure their relationship can survive without Andy taking some ownership of his life. The near end of their relationship, initiated by Susan, leads to Andy starting to flunk out of college, which in turn makes Andy a prime candidate to be drafted. During basic training at Camp Ord, California, Andy makes it clear to his superiors and his fellow privates that he doesn't want to be there and will do only what is requested of him without any extra effort. His superiors and fellow privates in turn see that Andy's privileged life has not done him any favors, especially after Mrs. Shaeffer makes a visit to the camp. But after it looks like Andy may be a lost cause, his superiors make a bold move to try and turn him into a man.",,5.4,31 May 1957,nm0124877
GIRLS OF PLEASURE ISLAND,tt0045819,,APP,FILM,"SILLY, UNFUNNY COMEDY ABOUT SOLDIERS WHO ESTABLISH BASE ON PACIFIC ISLAND ALREADY OCCUPIED BY A BEVY OF SISTERS AND THEIR FATHER. ARMY PROVIDED MEN AND EQUIPMENT AS BACKGROUND.",1953,"Comedy, Romance",95 min,"Alvin Ganzer, F. Hugh Herbert","In the spring of 1945, World War II is coming to a close. Roger Halyard, a dignified, strait-laced Englishmen, lives on a South Sea atoll with his three daughters, Gloria, Hester and Violet, along with the housekeeper, Thelma, who has raised the girls since childhood. Other than their father, the girls have never seen another man. Halyard is informed that 1500 U.S. Marines will soon arrive to establish an air base on the island. Halyard is rather apprehensive over the prospect of his daughters, who have never met another man, being thrown together with 1500 Marines who haven't seen a woman in months.",,5.9,01 Apr 1953,"nm0304681,nm0378540"
"GLENN MILLER STORY, THE",tt0047030,,APP,FILM,AIR FORCE GAVE FULL COOPERATION ON CLOSING PORTION OF THE FILM WHICH HAS GLENN MILLER AND HIS ORCHESTRA IN ENGLAND PLAYING FOR THE TROOPS,1954,"Biography, Drama, Music, Musical, Romance",115 min,Anthony Mann,"The unemployed trombone player Glenn Miller is always broken, chasing his sound to form his band and hocking his instrument in the pawn house to survive. When his friend Chummy MacGregor is hired to play in the band of Ben Pollack, the band-leader listens to one Glenn's composition and invites him to join his band. While traveling to New York, Glenn visits his former girlfriend Helen Berger, in Boulder, Colorado, and asks her to wait for him. Two years later he quits the band and proposes Helen that moves to New York to marry him. After the success of ""Moonlight Serenade"", Glenn Miller's band becomes worldwide known and Glenn and Helen and their two children have a very comfortable life. Duting the World War II, Glenn enlists in the army and travels to Europe to increase the moral of the allied troops. In the Christmas of 1944, he travels from London to Paris for a concert to be broadcast; however his plane is never found in the tragic flight.",Won 1 Oscar. Another 6 nominations.,7.3,04 Jan 1954,nm0542649
